Ranking by Total Referral Bonus Earned,User ID,Yesterday Referral Bonus Earned (BTC),Traded,Account Balance > 1 USDT,Time Invited
174,54441269,0.00000000 BTC,NO,NO,2020-11-06 02:34:10
175,55045152,0.00000000 BTC,NO,NO,2020-11-06 14:36:18
176,55090038,0.00000000 BTC,NO,NO,2020-11-06 23:34:05
177,55094360,0.00000000 BTC,NO,NO,2020-11-07 00:47:52
178,54687317,0.00000000 BTC,NO,NO,2020-11-07 11:11:17
179,55133225,0.00000000 BTC,NO,YES,2020-11-07 13:33:23
180,55136558,0.00000000 BTC,NO,NO,2020-11-07 14:24:37
181,55101569,0.00000000 BTC,NO,NO,2020-11-07 14:28:26
182,55131774,0.00000000 BTC,NO,NO,2020-11-07 15:25:55
183,55143418,0.00000000 BTC,NO,NO,2020-11-07 16:00:05
184,52161223,0.00000000 BTC,NO,YES,2020-11-07 16:14:30
185,55147280,0.00000000 BTC,NO,NO,2020-11-07 16:52:59
186,55154309,0.00000000 BTC,NO,YES,2020-11-07 18:25:44
187,55160601,0.00000000 BTC,NO,NO,2020-11-07 21:03:13
188,55170124,0.00000000 BTC,NO,NO,2020-11-08 00:04:42
189,55199448,0.00000000 BTC,NO,NO,2020-11-08 12:15:43
190,55216509,0.00000000 BTC,NO,NO,2020-11-08 16:39:46
191,55216742,0.00000000 BTC,NO,YES,2020-11-08 16:43:06
192,55217013,0.00000000 BTC,NO,NO,2020-11-08 16:47:27
193,55219345,0.00000000 BTC,NO,YES,2020-11-08 17:24:33
194,55222440,0.00000000 BTC,NO,YES,2020-11-08 18:10:10
195,55119587,0.00000000 BTC,NO,NO,2020-11-08 18:11:04
196,55224132,0.00000000 BTC,NO,NO,2020-11-08 18:31:48
197,55286058,0.00000000 BTC,NO,NO,2020-11-09 16:13:57
198,55288305,0.00000000 BTC,NO,NO,2020-11-09 16:18:22
199,55218303,0.00000000 BTC,NO,NO,2020-11-09 20:42:10
200,55354435,0.00000000 BTC,NO,YES,2020-11-10 13:49:05
201,55347857,0.00000000 BTC,NO,NO,2020-11-10 17:23:38
202,55348980,0.00000000 BTC,NO,YES,2020-11-10 17:52:03
203,55389780,0.00000000 BTC,NO,NO,2020-11-10 22:48:04
204,55434358,0.00000000 BTC,NO,NO,2020-11-11 14:15:27
205,55435859,0.00000000 BTC,NO,NO,2020-11-11 14:41:00
206,55281553,0.00000000 BTC,NO,YES,2020-11-11 20:57:58
207,55476834,0.00000000 BTC,NO,NO,2020-11-12 00:44:25
208,54244528,0.00000000 BTC,NO,NO,2020-11-15 19:18:07
209,55143231,0.00000000 BTC,NO,YES,2020-11-16 23:02:30
210,18877238,0.00000000 BTC,NO,NO,2020-11-17 10:57:10
211,55155688,0.00000000 BTC,NO,NO,2020-11-20 22:28:46
212,56346024,0.00000000 BTC,NO,YES,2020-11-21 17:10:46
213,56999831,0.00000000 BTC,NO,NO,2020-11-25 14:40:27
214,55192485,0.00000000 BTC,NO,NO,2020-11-26 12:53:28
215,57506913,0.00000000 BTC,NO,NO,2020-11-29 18:32:56
216,58351308,0.00000000 BTC,NO,NO,2020-12-04 14:39:50
217,59743572,0.00000000 BTC,NO,NO,2020-12-17 01:01:26
218,59653127,0.00000000 BTC,NO,NO,2020-12-17 01:44:24
219,59697030,0.00000000 BTC,NO,YES,2020-12-17 19:53:43
220,60518553,0.00000000 BTC,NO,NO,2020-12-27 10:12:23
